block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467314,1524124743,1524124746,3,181,10.00029096509721,4.0,3.0,41.0
5467315,1524124745,1524124757,12,12,49.42466151536087,50.0,25.366614414414414,77.37319143111353
5467316,1524124757,1524124770,13,86,8.664352983126903,4.0,3.0,39.962203445174225
5467317,1524124770,1524124787,17,268,10.041563738374178,3.0,1.0,50.0
5467318,1524124785,1524124798,13,97,10.672036317104116,4.0,2.2,42.381798824218606
5467319,1524124798,1524124830,32,101,11.318192850901115,3.0,2.0,50.0
5467320,1524124830,1524124845,15,104,15.91945546318204,4.0,2.2,77.80255199999993
5467321,1524124845,1524124890,45,247,31.79131867557734,20.0,5.0,91.0
5467322,1524124889,1524124902,13,251,25.355049641334215,14.911081640625,5.0,99.38367152317879
5467323,1524124900,1524124906,6,176,13.435325321093702,5.0,3.0,50.0
5467324,1524124907,1524124930,23,230,7.080155252225625,3.0,1.0,50.0
5467325,1524124930,1524124939,9,188,53.31715487244322,50.0,28.27659409594096,100.0
5467326,1524124938,1524124951,13,58,29.502479375343714,20.0,15.787598378378378,50.0
5467327,1524124950,1524124958,8,380,1.0542406831479627,1.0,1.0,1.0
5467328,1524124957,1524124964,7,166,16.155453133165476,5.0,4.0,50.41345016497535
5467329,1524124965,1524124973,8,104,5.13760996298085,4.0,1.0,10.840013180297223
5467330,1524124972,1524124993,21,124,13.827687122135623,4.2133566009739,3.0,50.0
5467331,1524124991,1524125021,30,123,11.31876293294177,4.0,2.0,50.0
5467332,1524125021,1524125068,47,198,39.95511095956086,50.0,8.758446591100352,55.0
5467333,1524125068,1524125080,12,119,44.12362324379256,7.125204066834803,5.0,90.99278742857143
5467334,1524125079,1524125100,21,98,17.290704922959545,5.0,4.0,53.8161556064073
5467335,1524125099,1524125105,6,339,7.4429033948241985,1.0,1.0,50.0
5467336,1524125104,1524125120,16,61,13.121797706570883,5.0,4.0,50.0
5467337,1524125120,1524125125,5,97,12.319363469029645,5.0,4.0,50.0
5467338,1524125125,1524125147,22,79,39.00421987312285,50.0,0.0,55.0
5467339,1524125146,1524125199,53,129,10.682672216671254,5.0,1.0,50.0
5467340,1524125198,1524125211,13,189,53.85270819722646,50.0,50.0,61.323920435967295
5467341,1524125211,1524125233,22,180,12.959505162934896,5.0,4.0,50.0
5467342,1524125233,1524125252,19,195,13.790495482537473,4.874058348623853,4.0,50.0
5467343,1524125250,1524125277,27,116,9.544631513660566,4.0,1.0,50.0
5467344,1524125277,1524125295,18,200,25.185008189557937,20.0,4.0,55.0
5467345,1524125293,1524125307,14,261,7.059591980666598,4.0,1.0,48.395258139534754
5467346,1524125308,1524125314,6,175,16.95007061316473,5.0,4.0,55.0
5467347,1524125313,1524125326,13,119,6.649549711656954,4.0,3.0,50.0
5467348,1524125325,1524125353,28,43,25.86257209941724,20.0,0.0,50.0
5467349,1524125350,1524125357,7,68,40.71346868380085,50.0,19.06896862745098,73.26445704512359
5467350,1524125355,1524125365,10,146,5.715101077744524,5.0,1.0,10.375084763256208
5467351,1524125363,1524125379,16,128,6.547509309481029,4.0,2.366488534842569,38.41972091240427
5467352,1524125378,1524125386,8,129,21.17930010240987,6.203568876704007,4.0,55.0
5467353,1524125387,1524125410,23,153,5.724764224732122,3.0,2.0,33.43575225225208
5467354,1524125409,1524125436,27,202,14.415001026434348,5.0,3.0,51.499373641304345
5467355,1524125435,1524125443,8,173,9.365166336962343,4.0,2.0,50.0
5467356,1524125445,1524125458,13,255,7.291330995241136,3.0,0.25,50.0
5467357,1524125459,1524125471,12,60,37.54270893509517,39.88585,16.182006673177085,55.67160915135252
5467358,1524125465,1524125474,9,140,6.907208644198527,5.0,2.0,17.444745054944942
5467359,1524125471,1524125488,17,185,8.220617742043558,4.0,3.0,55.0
5467360,1524125488,1524125503,15,103,9.64841457657034,2.0,2.0,50.0
5467361,1524125502,1524125513,11,48,25.474668507418297,9.733428899997401,4.0,89.35655065770898
5467362,1524125513,1524125528,15,130,9.059641576330483,5.0,2.0,46.285121481015516
5467363,1524125526,1524125538,12,222,19.99233953534308,5.0,3.0,55.0
5467364,1524125533,1524125572,39,116,7.2614167741091045,3.0,3.0,50.0
5467365,1524125573,1524125602,29,189,17.328224641963214,5.0,3.0,50.0
5467366,1524125601,1524125609,8,66,48.85783475927399,50.0,20.0,90.17108528571428
5467367,1524125609,1524125622,13,312,2.037924660787165,1.0,1.0,4.0
5467368,1524125619,1524125636,17,351,6.885114015383373,1.0,1.0,50.0
